Title,Genre,Rating,Runtime,Release_Date,Release_Month,Release_Year,Budget,Cast_1,Cast_2,Cast_3,Director_1,Writer_1,Description,Tomatometer_Status,Tomatometer_Rating,Tomatometer_Count,Audience_Status,Audience_Rating,Audience_Count
101 Dalmatians,Action,G,103,11/29/1996,11,1996,54000000,Glenn Close,Jeff Daniels,Joely Richardson,Stephen Herek,John Hughes,Cruella De Vil dognaps all of the Dalmatian puppies in London and Pongo leads a heroic cast of animal characters on a dramatic quest to rescue them all in a story the whole family will enjoy again and again.,Certified-Fresh,98,51,Upright,76,709291
Eraser,Action,R ,115,6/21/1996,6,1996,100000000,Arnold Schwarzenegger,James Caan,Vanessa L. Williams,Chuck Russell,Tony Puryear,"Top-notch action sequences and exciting stunt work highlight this fast-moving thriller. John Kruger (Arnold Schwarzenegger) is a top agent in the U.S. Marshalls' Witness Protection Program; it's his job to ""erase"" the pasts of Federal witnesses under his watch and deal with anyone who tries to hurt them. Kruger's latest assignment is to protect Lee Cullen (Vanessa Williams), who while working for a major weapons manufacturing firm discovered evidence that the company was selling new, high-tech weapons to intentional terrorists groups with the cooperation of a faction of enemy agents within the United States government. However, when Kruger discovers that the Witness Protection Program has a rat in the house -- and that rat is his boss, U.S. Marshall Robert Deguerin (James Caan) -- Kruger has to guard his own life while trying to protect Lee's. The supporting cast is highlighted by James Coburn, Robert Pastorelli, and James Cromwell.",Rotten,38,50,Spilled,39,126730
The Lion King,Action,G,87,6/15/1994,6,1994,45000000,Matthew Broderick,Jeremy Irons,James Earl Jones,Roger Allers,Linda Woolverton,"One of the most popular Disney animated musicals, The Lion King presents the story of a lion cub's journey to adulthood and acceptance of his royal destiny. Simba (voiced first by Jonathan Taylor Thomas, then by Matthew Broderick) begins life as an honored prince, the son of the powerful King Mufasa (voiced by James Earl Jones). The cub's happy childhood turns tragic when his evil uncle, Scar (voiced by Jeremy Irons), murders Mufasa and drives Simba away from the kingdom. In exile, the young lion befriends the comically bumbling pair of Pumbaa the warthog (voiced by Ernie Sabella) and Timon the meerkat (voiced by Nathan Lane), he and lives a carefree jungle life. As he approaches adulthood, however, he is visited by the spirit of his father, who instructs him to defeat the nefarious Scar and reclaim his rightful throne. Borrowing elements from Hamlet, classical mythology, and African folk tales, The Lion King tells its mythic coming-of-age tale with a combination of spectacular visuals and lively music, featuring light, rhythmic songs by Elton John and Tim Rice, and a score by Hans Zimmer. Embraced by children and adults alike, the film also spawned hit songs (""Can You Feel the Love Tonight,"" ""The Circle of Life"") and a hit Broadway musical. In late 2002, The Lion King was re-released in the large-screen IMAX format. ~ Judd Blaise, Rovi",Certified-Fresh,93,129,Upright,93,1269333
The Losers,Action,PG-13 ,98,4/23/2010,4,2010,25000000,Jeffrey Dean Morgan,Zoe Saldana,Chris Evans,Sylvain White,Peter Berg,"Director Sylvain White adapts the Vertigo comic about a team of mercenaries who wage war on the CIA after they're double-crossed in the field and left to die. Clay (Jeffrey Dean Morgan), Jensen (Chris Evans), Roque (Idris Elba), Pooch (Columbus Short), and Cougar (scar Jaenada) were on a black-ops mission in the Bolivian jungle when rogue CIA agent Max (Jason Patric) hung them out to dry. After beating the odds and surviving their ordeal, the team decides to strike back against Max even if it means sacrificing their own lives to do so. Aiding them on their treacherous suicide mission is sexy operative Aisha (Zoe Saldana), who has her own reasons for wanting to see Max get his just deserts. But getting to Max won't be easy, because in addition to having the CIA on his side, he's about to spark a war that could plunge the entire globe into chaos. Their time quickly running out as Max's plan kicks into overdrive, the Special Forces unit that everyone assumed dead arms themselves to the teeth and prepares to strike back with a vengeance. ~ Jason Buchanan, Rovi",Rotten,48,166,Spilled,54,144615
Bellflower,Action,R ,105,8/5/2011,8,2011,17000,Evan Glodell,Jessie Wiseman,Tyler Dawson,Evan Glodell,Evan Glodell,"Bellflower follows two friends as they venture out into the world to begin their adult lives. Literally all their free time is spent building flame-throwers and weapons of mass destruction in hopes that a global apocalypse will occur and clear the runway for their imaginary gang ""Mother Medusa"". While waiting for the world to end, their call to excitement comes unexpectedly when one of them meets a charismatic young woman and falls hard in love. Quickly integrated into a new group of friends, they set off on a journey of betrayal, love, hate, infidelity and extreme violence more devastating and fiery than any of their apocalyptic fantasies. -- (C) Official Site",Certified-Fresh,73,94,Upright,63,6277
Lethal Weapon 3,Action,R ,118,5/15/1992,5,1992,35000000,Mel Gibson,Danny Glover,Joe Pesci,Richard Donner,Jeffrey Boam,"Riggs and Murtaugh are back again. This time, they must stop a former cop who has become an arms dealer to L.A. street gangs.",Fresh,60,48,Upright,61,238840
Escape From Alcatraz,Action,PG ,112,6/22/1979,6,1979,8000000,Clint Eastwood,Patrick McGoohan,Roberts Blossom,Don Siegel,Richard Tuggle,"No one can escape from Alcatraz, right? Try telling that to lifer Frank Morris (Clint Eastwood). This Donald Siegel-directed nailbiter is a reenactment of Frank Morris' 1962 attempt to bust himself and two other cons out of The Rock. Eastwood, as Morris, tilts with nasty warden Patrick McGoohan for a while, befriends several fellow prisoners, and picks the guys with whom he'll make his escape. Among his break-out buddies are the Anglin Brothers (Fred Ward and Jack Thibeau), with whom he'd served in other lockups, and several others who've got their own special reasons to despise the sadistic McGoohan. Filmed on location at the newly renovated Alcatraz, Escape From Alcatraz was another box-office winner for the Eastwood/Siegel combo.",Fresh,96,27,Upright,85,65373
Babe,Action,G,91,8/4/1995,8,1995,30000000,James Cromwell,Magda Szubanski,Zoe Burton,Chris Noonan,Chris Noonan,"A young pig fights convention to become a sheep dog -- or, rather, sheep pig -- in this charming Australian family film, which became an unexpected international success due to superior special effects and an intelligent script. The title refers to the name bestowed on a piglet soon after his separation from his family, when he finds himself on a strange farm. Confused and sad, Babe is adopted by a friendly dog and slowly adjusts to his new home. Discovering that the fate of most pigs is the dinner table, Babe devotes himself to becoming a useful member of the farm by trying to learn how to herd sheep, despite the skepticism of the other animals and the kindly but conventional Farmer Hoggett (James Cromwell). Because technically impeccable animatronics and computer graphics allow the farm animals to converse easily among themselves, first-time director Chris Noonan can treat the film's menagerie as actual characters, playing scene not for cuteness but for real emotions. The result is often surprisingly touching, with Noonan and George Miller's script, based on Dick King-Smith's children's book and, indirectly, a true story, seamlessly combining gentle whimsy and sincere feeling. These same qualities are embodied by in Cromwell's beautifully understated performance as Farmer Hoggett, which anchors the film. Despite its unlikely premise and low profile, Babe's inspirational story was embraced by audiences and critics, and the movie became an international sleeper that won an Academy Award nomination for Best Picture. It was followed in 1999 by the less successful Babe: Pig in the City. ~ Judd Blaise, Rovi",Certified-Fresh,97,70,Upright,67,508807
Captain America: Civil War,Action,PG-13 ,146,5/6/2016,5,2016,250000000,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Anthony Russo,Christopher Markus,"Marvel's ""Captain America: Civil War"" finds Steve Rogers leading the newly formed team of Avengers in their continued efforts to safeguard humanity. But after another incident involving the Avengers results in collateral damage, political pressure mounts to install a system of accountability, headed by a governing body to oversee and direct the team. The new status quo fractures the Avengers, resulting in two camps-one led by Steve Rogers and his desire for the Avengers to remain free to defend humanity without government interference, and the other following Tony Stark's surprising decision to support government oversight and accountability.",Certified-Fresh,91,414,Upright,89,180162
Cradle 2 the Grave,Action,R ,99,2/28/2003,2,2003,25000000,Jet Li,DMX,Anthony Anderson,Andrzej Bartkowiak,John O'Brien,"A thief and a lawman join forces to hunt down a common enemy in this action thriller. Tony Fait (DMX) is a master thief who, along with his crew (Gabrielle Union, Anthony Anderson, and Drag-On), pulls off a major score when they steal a cache of highly valuable black diamonds. However, the hard-as-nails Tony has a soft spot for his young daughter Vanessa (Paige Hurd), and Ling (Mark Dacascos), a former detective turned ruthless criminal, kidnaps Vanessa, demanding a ransom from Tony for her return -- the stash of black diamonds. The jewels have already been stolen, however, from Tony's fence Archie (Tom Arnold), and are now in the hands of a powerful underworld boss (Chi McBride). Determined to get back his daughter whatever the cost, Tony and his gang set out to find both Ling and the diamonds, but he soon gets some invaluable help from an unlikely corner -- Su (Jet Li), a government agent from Taiwan who was once Ling's partner, and has an old score to settle with him. Cradle 2 the Grave also features Kelly Hu and Roxana Brusso.",Rotten,25,122,Spilled,52,81039
Dredd,Action,R ,95,9/21/2012,9,2012,50000000,Karl Urban,Olivia Thirlby,Wood Harris,Pete Travis,Alex Garland,"The future America is an irradiated waste land. On its East Coast, running from Boston to Washington DC, lies Mega City One- a vast, violent metropolis where criminals rule the chaotic streets. The only force of order lies with the urban cops called ""Judges"" who possess the combined powers of judge, jury and instant executioner. Known and feared throughout the city, Dredd (Karl Urban) is the ultimate Judge, challenged with ridding the city of its latest scourge - a dangerous drug epidemic that has users of ""Slo-Mo"" experiencing reality at a fraction of its normal speed. -- (C) Lionsgate",Certified-Fresh,79,164,Upright,72,153718
Outbreak,Action,R ,122,3/10/1995,3,1995,50000000,Rene Russo,Dustin Hoffman,Morgan Freeman,Wolfgang Petersen,Laurence Dworet,"A handful of scientists struggle to prevent the destruction of a small town -- and possibly the entire country -- in this suspense drama. In the mid-1960s, a deadly virus is discovered in Zaire that wipes out an entire village in 24 hours. Government researchers are brought in to investigate, but the military opts to destroy the village rather than risk further infection. Thirty years later, Sam Daniels (Dustin Hoffman), an expert on contagious diseases, is called in when the virus re-emerges in Africa. A monkey carrying the bug is smuggled into the U.S., and a suburban California town soon begins to succumb to the illness. Sam scrambles to find an antidote with the help of his ex-wife Robby (Rene Russo), a Center for Disease Control researcher, and their colleague Casey (Kevin Spacey), while Gen. McClintock (Donald Sutherland) has his own reasons for wanting to use bombs to contain the epidemic, and Army surgeon Gen. Ford (Morgan Freeman) is caught in the middle. Outbreak was produced in the hopes of beating the film version of Richard Preston's bestseller The Hot Zone (about a real-life epidemic) into theaters; script problems shelved The Hot Zone, and Outbreak had the infectious disease market to itself. ~ Mark Deming, Rovi",Fresh,60,62,Spilled,56,105056
Bedknobs and Broomsticks,Action,G,117,11/11/1971,11,1971,20000000,Angela Lansbury,David Tomlinson,Roddy McDowall,Robert Stevenson,Bill Walsh,"This Disney film, set in wartime England, stars Angela Lansbury as a would-be witch who hopes to use her newly-acquired conjuring powers to forestall a Nazi invasion. Saddled with three surly kids who've been evacuated from London, Lansbury wins over her charges by performing various and sundry feats of magic.",Fresh,66,35,Upright,74,202926
A Good Day To Die Hard,Action,R ,97,2/14/2013,2,2013,92000000,Jai Courtney,Bruce Willis,Sebastian Koch,John Moore (VIII),Skip Woods,"John McClane (Bruce Willis) heads to Russia in this fifth installment of the Die Hard film series. Skip Woods (The A-Team) provides the script, with Max Payne's John Moore directing. ~ Jeremy Wheeler, Rovi",Rotten,14,229,Spilled,40,117684
Clockstoppers,Action,PG ,94,3/29/2002,3,2002,26000000,Jesse Bradford,French Stewart,Paula Garcs,Jonathan Frakes,David N. Weiss,"Until now, Zak Gibbs' greatest challenge has been to find a way to buy a car. But when he discovers an odd wristwatch amidst his father's various inventions and slips it on--something very strange happens. The world around him seems to come to a stop, everything and everybody frozen in time. Zak quickly learns how to manipulate the device and he and his quick-witted and beautiful new friend, Francesca, start to have some real fun. But Zak and Francesca soon find out they are not alone in ""Hypertime.""",Rotten,29,85,Spilled,30,58092
Transformers: Revenge of the Fallen,Action,PG-13 ,149,6/24/2009,6,2009,150000000,Shia LaBeouf,Megan Fox,Josh Duhamel,Michael Bay,Ehren Kruger,"Two years after saving the world with the Autobots, Sam Witwicky (Shia LaBeouf) is away at college when an ancient Decepticon named ""The Fallen"" returns to Earth on a mission of vengeance. With the Allspark destroyed, the Autobots lose all hope of returning to their home planet of Cybertron, and begin working with an elite military known as NEST to hunt down any remaining Decepticons. But even as they fight for humanity alongside Major Lennox (Josh Duhamel) and USAF Master Sergeant Epps (Tyrese Gibson), the Autobots are acutely aware that not all humans are thrilled by their presence on planet Earth. When National Security Advisor Theodore Galloway (John Benjamin Hickey) wages a heated campaign aimed at exiling the giant robots back into space, head Autobot Optimus Prime agrees to comply with the voice of the people, while warning them of the potential consequences of leaving the planet unprotected. Meanwhile, Sam contends with an overly cocky college roommate, and attempts to remain faithful to Mikaela (Megan Fox) by fending off advances from pretty -- and persistent -- coed Alice (Isabel Lucas). Just as Sam begins adjusting to the quirks of campus life, a series of inexplicable visions leaves him convinced that the struggle between good and evil is far from over. And he's correct, too, because the Decepticons have just discovered that Sam is the one human who possesses the ability to tip the balance of power to the Autobots' advantage, and they're determined to gain the upper hand by dispensing with him once and for all. Now, as Sam and Mikaela unearth a secret about the Transformers that alters the entire course of human history, the Decepticon known as The Fallen prepares to return -- and reclaim the plant once and for all. ~ Jason Buchanan, Rovi",Rotten,20,251,Spilled,57,4081606
Salt,Action,PG-13 ,100,7/23/2010,7,2010,110000000,Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor,Phillip Noyce,Kurt Wimmer,"As a CIA officer, Evelyn Salt (Jolie) swore an oath to duty, honor and country. Her loyalty will be tested when a defector accuses her of being a Russian spy. Salt goes on the run, using all her skills and years of experience as a covert operative to elude capture. Salt's efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who Is Salt?""-- (C) Sony",Fresh,62,245,Spilled,59,200731
Dances With Wolves,Action,PG-13 ,181,11/9/1990,11,1990,22000000,Kevin Costner,Mary McDonnell,Graham Greene (II),Kevin Costner,Michael Blake,"A historical drama about the relationship between a Civil War soldier and a band of Sioux Indians, Kevin Costner's directorial debut was also a surprisingly popular hit, considering its length, period setting, and often somber tone. The film opens on a particularly dark note, as melancholy Union lieutenant John W. Dunbar attempts to kill himself on a suicide mission, but instead becomes an unintentional hero. His actions lead to his reassignment to a remote post in remote South Dakota, where he encounters the Sioux. Attracted by the natural simplicity of their lifestyle, he chooses to leave his former life behind to join them, taking on the name Dances with Wolves. Soon, Dances with Wolves has become a welcome member of the tribe and fallen in love with a white woman who has been raised amongst the tribe. His peaceful existence is threatened, however, when Union soldiers arrive with designs on the Sioux land. Some detractors have criticized the film's depiction of the tribes as simplistic; such objections did not dissuade audiences or the Hollywood establishment, however, which awarded the film seven Academy Awards, including Best Picture. ~ Judd Blaise, Rovi",Certified-Fresh,83,76,Upright,87,213700
Trapped,Action,R ,101,9/20/2002,9,2002,30000000,Charlize Theron,Courtney Love,Stuart Townsend,Luis Mandoki,Greg Iles,"A mother is caught in a race against time to save her child in this taut suspense thriller. Dr. Will Jennings (Stuart Townsend) and his wife, Karen (Charlize Theron), find their world has been turned upside down when they're taken hostage and held in different cities while their young daughter is kidnapped by the same band of ruthless criminals. Joe Hickey (Kevin Bacon) has hatched a seemingly foolproof plan with his wife, Cheryl (Courtney Love), and cousin, Marvin (Pruitt Taylor Vince): while Dr. Jennings and Mrs. Jennings are under guard and unable to contact the police, Hickey will demand a massive ransom for the return of their daughter. If the payment is not arranged in 24 hours, the girl will be killed. Will and Karen realize it's imperative that they find their daughter as soon as possible, as she suffers from a medical condition that could claim her life if she doesn't receive her medication within a day, but as Karen plots a way to get away from Joe and rescue her little girl, she discovers money isn't the only reason Joe has chosen the Jenningses as his victims. Trapped was based on the novel 24 Hours by Greg Iles; 24 Hours was also announced as the film's title before it was changed to avoid being confused with the popular television series 24.",Rotten,17,59,Spilled,48,21639
Every Which Way But Loose,Action,PG ,110,12/20/1978,12,1978,5000000,Clint Eastwood,Sondra Locke,Geoffrey Lewis,James Fargo,Jeremy Joe Kronsberg,"In this comedy, Clint Eastwood plays Philo Beddoe, a bare-knuckle boxer who travels from fight to fight, accompanied by his ""pal"" Clyde, a orangutan with a mean right hook, and his human buddy Orville. During a stopover, Philo meets and falls in love with would-be country/western singer Lynn Halsey-Taylor.",Rotten,37,27,Spilled,55,28198
Machine Gun Preacher,Action,R ,123,9/23/2011,9,2011,30000000,Gerard Butler,Michelle Monaghan,Kathy Baker,Marc Forster,Jason Keller,"When ex-biker-gang member Sam Childers (Butler) makes the life-changing decision to go to East Africa to help repair homes destroyed by civil war, he is outraged by the unspeakable horrors faced by the region's vulnerable populace, especially the children. Ignoring the warnings of more experienced aide workers, Sam breaks ground for an orphanage where it's most needed-in the middle of territory controlled by the brutal Lord's Resistance Army (LRA), a renegade militia that forces youngsters to become soldiers before they even reach their teens. But for Sam, it is not enough to shelter the LRA's intended victims. Determined to save as many as possible, he leads armed missions deep into enemy territory to retrieve kidnapped children, restoring peace to their lives-and eventually his own. -- (C) Relativity Media",Rotten,27,114,Upright,62,18373
Nighthawks,Action,R ,100,4/4/1981,4,1981,5000000,Sylvester Stallone,Lindsay Wagner,Persis Khambatta,Bruce Malmuth,David Shaber,"Deke DaSilva (Sylvester Stallone) and Matthew Fox (Billy Dee Williams) are New York police officers specially assigned to a special multi-national team dedicated to tracking down terrorist Wulfgar (Rutger Hauer). Wulfgar planted a bomb in a London department store, killing several children and he is now an outcast, hunted by both the police and his fellow gang members. He has extensive plastic surgery and resumes his activities aided by Shakka (Persis Khambutta), a completely psychotic fellow outcast. Soon DaSilva and Wulfgar are engaged in a violent battle of wits as Wulfgar resumes his terrorist activities and threatens New York . This very effective thriller features a chilling performance by Rutger Hauer as the handsome, ruthless cold-blooded killer who charms women into helping him and then kills them. Sylvester Stallone gives an unusually understated emotionally vulnerable performance as a man trying to save lives while he saves his own marriage. The film makes excellent use of New York locales, particularly during a terrifying hijacking of a cable car where Wulfgar coolly decides which of the hostages will live or die.",Fresh,70,20,Spilled,54,7370
Hotel for Dogs,Action,PG ,100,1/16/2009,1,2009,35000000,Don Cheadle,Emma Roberts,Jake T. Austin,Thor Freudenthal,Jeff Lowell,"When their new guardians forbid 16-year old Andi and her younger brother, Bruce to have a pet, Andi has to use her quick wit to help find a new home for their dog, Friday. The resourceful kids stumble upon an abandoned hotel and using Bruce's talents as a mechanical genius, transform it into a magical dog-paradise for Friday--and eventually for all Friday's friends. When barking dogs make the neighbors suspicious, Andi and Bruce use every invention they have to avoid anyone discovering ""who let the dogs in.""",Rotten,46,122,Spilled,54,165616
